year,month,day,avg_temp
2015,2,3,0.5
2015,2,4,0.5
2015,2,5,1.0
2015,2,6,-0.5
2015,2,7,-1.0
2015,2,8,-1.0
2015,2,9,-0.5
2015,2,10,3.0
2015,2,11,2.0
2015,2,12,3.5
2015,2,13,3.5
2015,2,14,4.5
2015,2,15,4.5
2015,2,16,2.5
2015,2,17,1.5
2015,2,18,2.5
2015,2,19,2.5
2015,2,20,4.0
2015,2,21,6.0
2015,2,22,7.0
2015,2,23,6.5
2015,2,24,8.5
2015,2,25,7.5
2015,2,26,6.5
2015,2,27,7.5
2015,2,28,6.5
2015,3,1,8.0
2015,3,2,8.5
2015,3,3,5.0
2015,3,4,6.5
2015,3,5,4.5
2015,3,6,4.0
2015,3,7,7.0
2015,3,8,6.5
2015,3,9,9.0
2015,3,10,10.0
2015,3,11,9.5
